Spades,ace,1
Spades,2,2
Spades,3,3
Spades,4,4
Spades,5,5
Spades,6,6
Spades,7,7
Spades,8,8
Spades,9,9
Spades,10,10
Spades,J,11
Spades,Q,12
Spades,K,13
Clubs,ace,1
Clubs,2,2
Clubs,3,3
Clubs,4,4
Clubs,5,5
Clubs,6,6
Clubs,7,7
Clubs,8,8
Clubs,9,9
Clubs,10,10
Clubs,J,11
Clubs,Q,12
Clubs,K,13
Hearts,ace,1
Hearts,2,2
Hearts,3,3
Hearts,4,4
Hearts,5,5
Hearts,6,6
Hearts,7,7
Hearts,8,8
Hearts,9,9
Hearts,10,10
Hearts,J,11
Hearts,Q,12
Hearts,K,13
Diamonds,ace,1
Diamonds,2,2
Diamonds,3,3
Diamonds,4,4
Diamonds,5,5
Diamonds,6,6
Diamonds,7,7
Diamonds,8,8
Diamonds,9,9
Diamonds,10,10
Diamonds,J,11
Diamonds,Q,12
Diamonds,K,13